city,month,zhvi,pred_pct_change,down_prob,actual_change,actual_dir,signal,score
Doylestown,2013-11-01,412766.05229966535,2.836698827020974,0.38357309855469157,2.2568807057201212,1,BUY,1
Doylestown,2013-12-01,413332.04234200425,3.172316724259913,0.32841638357292435,1.9255238621019188,1,BUY,1
Doylestown,2014-01-01,415664.4254760174,2.67298455707353,0.11664073425959542,1.2114760337687658,1,STRONG BUY,2
Doylestown,2014-02-01,418456.2107964448,3.1466472189888957,0.11580017309720447,0.4016173200094064,1,STRONG BUY,2
Doylestown,2014-03-01,421178.32897815265,2.6211013834849997,0.07893739342027706,-0.1783353706306445,0,STRONG BUY,2
Doylestown,2014-04-01,422058.49622000544,2.3087371973296658,0.19390253008660974,-0.3375557015961594,0,STRONG BUY,2
Doylestown,2014-05-01,422081.6896937792,4.122239273967502,0.10104920278158214,-0.0389210814524254,0,STRONG BUY,2
Doylestown,2014-06-01,421290.8494470127,2.2510527196125185,0.14340591647677803,0.3444270942059679,1,STRONG BUY,2
Doylestown,2014-07-01,420700.100371562,4.203971613183614,0.06523178768349125,0.7378654869055756,1,STRONG BUY,2
Doylestown,2014-08-01,420136.8034156584,1.9788431428641409,0.12001150691111495,1.0465048759790596,1,BUY,1
Doylestown,2014-09-01,420427.2190441535,3.5905509616228257,0.1255871665137145,1.3260111846048028,1,STRONG BUY,2
Doylestown,2014-10-01,420633.8137019438,2.1794170866531632,0.2594930885576443,1.5708505295960906,1,BUY,1
Doylestown,2014-11-01,421917.41093553766,2.123337934943556,0.10425919676413187,1.5691323290514705,1,STRONG BUY,2
Doylestown,2014-12-01,422741.88927791873,2.324409558790221,0.1973624343068745,1.3660962690029477,1,STRONG BUY,2
Doylestown,2015-01-01,423804.3012155808,2.730137910323714,0.09626664308508814,1.0506740823668317,1,STRONG BUY,2
Doylestown,2015-02-01,424533.5555491858,2.7884402543726967,0.15236611373680387,0.99923572954268,1,STRONG BUY,2
Doylestown,2015-03-01,426002.1309918019,5.7053863312040205,0.17670866670784446,0.96645183290458,1,STRONG BUY,2
Doylestown,2015-04-01,427241.34219214105,3.050972046373003,0.15990079391253198,0.8850480662982996,1,STRONG BUY,2
Doylestown,2015-05-01,428537.85343242413,3.0339363457769135,0.2795674683564493,0.5782270007355539,1,BUY,1
Doylestown,2015-06-01,428516.95045485697,3.4027074709258405,0.16341009610488233,0.6087130422545828,1,STRONG BUY,2
Doylestown,2015-07-01,428257.10316840885,3.0839819374364645,0.2141270339479039,0.8785474428302686,1,STRONG BUY,2
Doylestown,2015-08-01,428775.6465201311,3.363344357332268,0.1462999909507835,1.052204510157706,1,STRONG BUY,2
Doylestown,2015-09-01,430119.2363949848,3.6823703991209715,0.18179521703470103,0.7939198045163076,1,STRONG BUY,2
Doylestown,2015-10-01,431022.6334296395,3.4040973892395225,0.0827025303235076,0.5139362666251035,1,STRONG BUY,2
Doylestown,2015-11-01,431015.775009343,3.1872025556129673,0.1774263578066667,0.2874615957490611,1,STRONG BUY,2
Doylestown,2015-12-01,431125.3890205473,3.3753041607443848,0.25088701632793164,0.0405693548061192,1,BUY,1
Doylestown,2016-01-01,432019.5449970339,4.126949327303235,0.21111189126105578,-0.1658190739378229,0,STRONG BUY,2
Doylestown,2016-02-01,433287.2432112738,3.3191639572737426,0.14465903314154416,-0.3467075301648359,0,STRONG BUY,2
Doylestown,2016-03-01,433534.0381957588,3.0470071808529835,0.28096431858528703,-0.1652589339350307,0,BUY,1
Doylestown,2016-04-01,433237.81506019697,2.6175373107879922,0.1470541740991742,0.0210489479710362,1,STRONG BUY,2
Doylestown,2016-05-01,432254.77983411506,2.9962790831714865,0.07129445706956428,0.5144495170220198,1,STRONG BUY,2
Doylestown,2016-06-01,431300.29380927834,2.2855815037698206,0.11923739496200825,1.227321190892261,1,STRONG BUY,2
Doylestown,2016-07-01,431303.17418828944,2.742848158274722,0.08465870400710784,1.826936969477444,1,STRONG BUY,2
Doylestown,2016-08-01,431785.0037118167,2.4072655027974834,0.12198309647210503,2.1699239733090847,1,STRONG BUY,2
Doylestown,2016-09-01,432817.584465991,2.379616287690824,0.15725013148564082,2.2077413445681815,1,STRONG BUY,2
Doylestown,2016-10-01,433329.00706247985,2.7428506097183227,0.15826857532315297,2.3688878569490424,1,STRONG BUY,2
Doylestown,2016-11-01,434478.51246127626,2.7943421833998787,0.07706461064334735,2.4908140878366236,1,STRONG BUY,2
Doylestown,2016-12-01,436593.73371158016,3.439353005453171,0.04097995876919258,2.2777467713126054,1,STRONG BUY,2
Doylestown,2017-01-01,439182.811328065,3.595168385891866,0.06499549323213893,1.7743578535872828,1,STRONG BUY,2
Doylestown,2017-02-01,441154.41002051294,2.1920922455968315,0.16339574550751113,1.2797685182763807,1,STRONG BUY,2
Doylestown,2017-03-01,442373.077224808,5.211008597423829,0.14747469820885295,1.149079601297709,1,STRONG BUY,2
Doylestown,2017-04-01,443594.0852914208,2.6542622199576957,0.21056754038519654,1.1821888862330932,1,STRONG BUY,2
Doylestown,2017-05-01,445300.5644582847,2.5212271089714213,0.21401513331992084,1.0247465882919249,1,STRONG BUY,2
Doylestown,2017-06-01,446538.23338494886,2.666359698995738,0.17741785554364942,0.9136454299131458,1,STRONG BUY,2
Doylestown,2017-07-01,446975.4860324699,4.107920205631091,0.06387603054891156,0.9392215301334604,1,STRONG BUY,2
Doylestown,2017-08-01,446800.16527694336,2.982815139487711,0.16280213530691734,1.1862403388036569,1,STRONG BUY,2
Doylestown,2017-09-01,447456.2960168312,4.169347139022652,0.25466177530673884,1.5206979914396346,1,BUY,1
Doylestown,2017-10-01,448838.20526772336,2.342454601921191,0.18249579144725026,1.871578674916985,1,STRONG BUY,2
Doylestown,2017-11-01,449863.7668002157,2.818129442024531,0.16784674997456694,2.3039453680000266,1,STRONG BUY,2
Doylestown,2017-12-01,450618.0095470853,2.764870649068677,0.215314905375816,2.390214937778423,1,STRONG BUY,2
Doylestown,2018-01-01,451173.5760317056,3.0029905082985224,0.15018523941903605,2.086145053129873,1,STRONG BUY,2
Doylestown,2018-02-01,452100.28907129983,2.6216756801119385,0.14399016627001604,1.6582231829219252,1,STRONG BUY,2
Doylestown,2018-03-01,454260.75492292934,2.9798354139918315,0.11274413460314714,1.0637506705575728,1,STRONG BUY,2
Doylestown,2018-04-01,457238.56540239416,3.0005649240314445,0.10928862013890805,0.525883386039605,1,STRONG BUY,2
Doylestown,2018-05-01,460228.3822177197,2.224646577853486,0.17216008471879318,0.0183509471454623,1,STRONG BUY,2
Doylestown,2018-06-01,461388.7485235996,2.829464379027675,0.07390032344433917,-0.0777164788626993,0,STRONG BUY,2
Doylestown,2018-07-01,460585.7112691202,2.3489649477933185,0.16721418567589852,0.2752401967239803,1,STRONG BUY,2
Doylestown,2018-08-01,459597.1208747371,2.0525319679033838,0.1908289073137951,0.6032400688970263,1,STRONG BUY,2
Doylestown,2018-09-01,459092.9567495019,2.1869248909707992,0.22847509837582314,0.9365739280448482,1,STRONG BUY,2
Doylestown,2018-10-01,459643.1070524112,2.2556566852067483,0.16165970878514946,1.182542498802297,1,STRONG BUY,2
Doylestown,2018-11-01,460312.8384848889,2.3583398174476224,0.2651213732548633,1.560013853092057,1,BUY,1
