city,RegionName,month,zhvi,zhvi_mom,zhvi_yoy,zhvi_3m_fwd,zhvi_6m_fwd,zhvi_12m_fwd,zhvi_3m_avg
Indianapolis,"Indianapolis, IN",2005-09-01,130854.12328799826,0.14393530768093132,5.455707044822855,0.9300348106325185,0.7608161181245299,1.5648896853600602,130602.01575404296
Indianapolis,"Indianapolis, IN",2005-10-01,131198.82928044416,0.26342768862333,5.301948644492271,0.7169335494167983,0.5362640701071841,1.6092227274698612,130906.33375906573
Indianapolis,"Indianapolis, IN",2005-11-01,131576.85047966882,0.28812848506187816,5.182888939795305,0.3643394669285538,0.3157782907954765,1.6503079562619982,131209.93434937042
Indianapolis,"Indianapolis, IN",2005-12-01,132071.11218572463,0.37564488301244925,5.06140111920117,-0.16765940170879734,0.1151290772161584,1.7037996947217637,131615.5973152792
Indianapolis,"Indianapolis, IN",2006-01-01,132139.43770399774,0.05173388573953552,4.503913483492039,-0.17938341939389701,0.21089940608469693,1.805609423579413,131929.13345646372
Indianapolis,"Indianapolis, IN",2006-02-01,132056.23687530783,-0.06296441859869883,3.756199003695504,-0.04838489087958253,0.47621979538507997,1.951337497603789,132088.92892167674
Indianapolis,"Indianapolis, IN",2006-03-01,131849.6825492039,-0.15641391197522836,2.84781827822167,0.2832633966410203,0.7980022375889684,2.0654108125655712,132015.11904283648
Indianapolis,"Indianapolis, IN",2006-04-01,131902.40146227644,0.039984103149337535,2.333120798357169,0.3909841862812513,1.0672354570629983,2.1267221214007037,131936.10696226274
Indianapolis,"Indianapolis, IN",2006-05-01,131992.34160919604,0.06818689115779542,1.9714858074181718,0.52485863854419,1.330328775995726,2.011033563727671,131914.80854022547
Indianapolis,"Indianapolis, IN",2006-06-01,132223.16443845318,0.17487592571132637,1.7804215670890855,0.5132848927263511,1.586843698998086,1.7628601948276978,132039.30250330854
Indianapolis,"Indianapolis, IN",2006-07-01,132418.11899331913,0.1474435706435573,1.6365885585065687,0.6736175327526794,1.5913538616517897,1.463445740760183,132211.20834698944
Indianapolis,"Indianapolis, IN",2006-08-01,132685.11481634865,0.2016308833408198,1.545210961490251,0.8012646308190874,1.4681261946585256,1.157913326845117,132442.13274937365
Indianapolis,"Indianapolis, IN",2006-09-01,132901.8459662005,0.16334247451330608,1.5648896853600602,1.0680765307963913,1.2573746967615707,0.765342659359014,132668.3599252894
Indianapolis,"Indianapolis, IN",2006-10-01,133310.11065939945,0.3071926429846439,1.6092227274698612,0.9115956607008036,1.0482988473428767,0.32747517442790475,132965.69048064953
Indianapolis,"Indianapolis, IN",2006-11-01,133748.27371173375,0.32867953538331385,1.6503079562619982,0.6615607118440447,0.6717680638703261,0.16763457736410636,133320.07677911123
Indianapolis,"Indianapolis, IN",2006-12-01,134321.33939196065,0.4284658518000972,1.7037996947217637,0.1872976833664275,0.17326701905531205,0.14032834272033057,133793.2412543646
Indianapolis,"Indianapolis, IN",2007-01-01,134525.35984344597,0.15188982808604923,1.805609423579413,0.13546826382739852,-0.12590453422423042,0.21511472333368697,134198.32431571346
Indianapolis,"Indianapolis, IN",2007-02-01,134633.0997433802,0.08008891413457953,1.951337497603789,0.010140267997149621,-0.30572444712173574,0.09578230416278366,134493.26632626227
Indianapolis,"Indianapolis, IN",2007-03-01,134572.92014890854,-0.04469895930969692,2.0654108125655712,-0.014004434330050497,-0.4859221749290432,-0.06524154677836069,134577.12657857823
Indianapolis,"Indianapolis, IN",2007-04-01,134707.59901283344,0.100078725924857,2.1267221214007037,-0.26101919987329136,-0.7133456783908199,-0.3090988503938852,134637.87296837405
Indianapolis,"Indianapolis, IN",2007-05-01,134646.75190050705,-0.0451697697622766,2.011033563727671,-0.3158326888378138,-0.5007694770855498,-0.35232678171246423,134642.42368741633
Indianapolis,"Indianapolis, IN",2007-06-01,134554.07397268026,-0.06883042221120794,1.7628601948276978,-0.47198383926581045,-0.03288170318804795,-0.2545928156529098,134636.14162867356
Indianapolis,"Indianapolis, IN",2007-07-01,134355.98631572162,-0.14721788133955638,1.463445740760183,-0.45351022728412627,0.3414491575293166,-0.18984828568139323,134518.93739630296
Indianapolis,"Indianapolis, IN",2007-08-01,134221.4934435469,-0.10010188296237787,1.157913326845117,-0.18552272967327088,0.40273801986909774,-0.3033700261073746,134377.18457731628
Indianapolis,"Indianapolis, IN",2007-09-01,133919.00048845544,-0.22536849153649285,0.765342659359014,0.4411844554086608,0.42273479023757776,-0.48062210846596676,134165.493415908
Indianapolis,"Indianapolis, IN",2007-10-01,133746.66817681136,-0.1286839888406499,0.32747517442790475,0.7985810314642849,0.4071512236553776,-0.6895751996793376,133962.38736960458
Indianapolis,"Indianapolis, IN",2007-11-01,133972.4820651022,0.16883701954528707,0.16763457736410636,0.589354135421849,0.1491897923159291,-1.2540712496234563,133879.38357678967
Indianapolis,"Indianapolis, IN",2007-12-01,134509.83030144914,0.40108851315139304,0.14032834272033057,-0.01836862565002262,-0.22178403883423847,-2.1384912822909885,134076.32684778757
Indianapolis,"Indianapolis, IN",2008-01-01,134814.74369908686,0.22668484299948055,0.21511472333368697,-0.3883286885623116,-0.5294895057541216,-2.824400313546138,134432.3520218794
Indianapolis,"Indianapolis, IN",2008-02-01,134762.0544284802,-0.039082721341132665,0.09578230416278366,-0.43758541536447204,-0.70327568739883,-3.1839070596574426,134695.54280967207
